,extractor,n_features,selection_method,model,accuracy_avg,accuracy_std,precision_avg,precision_std,recall_avg,recall_std,f1_avg,f1_std
68,VGG19,300,"SelectFromModel(estimator=RandomForestClassifier(n_estimators=200, n_jobs=-1,
                                                 random_state=5),
                max_features=300, threshold='1.25*median')","SVC(C=1, gamma='auto', kernel='linear')",0.8382996632996633,0.005046294541185809,0.8478652696553592,0.004492719099755924,0.9429985489975049,0.004875416200042535,0.8928925279276324,0.003263998827195874
69,VGG19,300,PCA(n_components=300),KNeighborsClassifier(n_neighbors=21),0.8156565656565655,0.008686770808312405,0.852832268513178,0.004119050158634761,0.896832266745976,0.010145274715758152,0.8742601118728388,0.006340631644458371
70,VGG19,300,PCA(n_components=300),GaussianNB(),0.5660774410774412,0.011796530667579049,0.8248898029152963,0.007918065835959998,0.49864716375114304,0.013685858774352948,0.6215101348898675,0.01279432544161239
71,VGG19,300,PCA(n_components=300),"SVC(C=1, gamma='auto', kernel='linear')",0.841077441077441,0.01091228597680621,0.8535595274350932,0.008523235480850443,0.9387591675557783,0.005556491124027177,0.8941276300501114,0.007013546113153685
72,VGG19,350,SelectKBest(k=350),KNeighborsClassifier(n_neighbors=29),0.8173400673400675,0.009899075791560292,0.8513302775149592,0.007091766717731064,0.9020144185140431,0.011296531461785787,0.8758975432425691,0.006975092092914341
73,VGG19,350,SelectKBest(k=350),GaussianNB(),0.6743265993265993,0.01886986864745698,0.8788116924867007,0.011529970859843688,0.631258670138535,0.020701318153780922,0.7346511194177366,0.017533689608313148
74,VGG19,350,SelectKBest(k=350),"SVC(C=1, gamma='auto', kernel='linear')",0.8423400673400673,0.007831450067079462,0.8531714234018795,0.005963015518823387,0.9414678210906299,0.005375148771825882,0.8951396722931086,0.005092128066859548
75,VGG19,350,"RFE(estimator=RandomForestClassifier(n_jobs=-1), n_features_to_select=350)",KNeighborsClassifier(n_neighbors=25),0.8140572390572391,0.010695205504557976,0.8525973041754998,0.005803508114532821,0.8944771780809193,0.011151225251072077,0.8730157081509755,0.0076577935404962905
76,VGG19,350,"RFE(estimator=RandomForestClassifier(n_jobs=-1), n_features_to_select=350)",GaussianNB(),0.701936026936027,0.014333017351968045,0.8786759108616066,0.011614766721026229,0.6763634951897846,0.013477104702158191,0.764317412582572,0.012001667811547509
77,VGG19,350,"RFE(estimator=RandomForestClassifier(n_jobs=-1), n_features_to_select=350)","SVC(C=1, gamma='auto', kernel='linear')",0.843939393939394,0.008877977692548968,0.85567543870799,0.007120981473582312,0.9402903807477688,0.004278951331491763,0.8959841195075586,0.005668910560999552
78,VGG19,350,"SelectFromModel(estimator=RandomForestClassifier(n_estimators=200, n_jobs=-1,
                                                 random_state=5),
                max_features=350, threshold='1.25*median')",KNeighborsClassifier(n_neighbors=23),0.8226430976430976,0.013326806040968356,0.853067340174691,0.006709280434735955,0.9082562943212628,0.013267038561525108,0.8797796866739924,0.009461666134728453
79,VGG19,350,"SelectFromModel(estimator=RandomForestClassifier(n_estimators=200, n_jobs=-1,
                                                 random_state=5),
                max_features=350, threshold='1.25*median')",GaussianNB(),0.7146464646464646,0.015179547580942577,0.8777472279498962,0.012495841639954484,0.6980327927950413,0.01588214379973997,0.7775554854044786,0.012772595019946393
80,VGG19,350,"SelectFromModel(estimator=RandomForestClassifier(n_estimators=200, n_jobs=-1,
                                                 random_state=5),
                max_features=350, threshold='1.25*median')","SVC(C=1, gamma='auto', kernel='linear')",0.8382996632996633,0.005046294541185809,0.8478652696553592,0.004492719099755924,0.9429985489975049,0.004875416200042535,0.8928925279276324,0.003263998827195874
81,VGG19,350,PCA(n_components=350),KNeighborsClassifier(n_neighbors=27),0.8144781144781146,0.009329394614476388,0.8524708924684624,0.005557572022791796,0.8954191164899189,0.011588044442760811,0.8733799571937009,0.006799570284454525
82,VGG19,350,PCA(n_components=350),GaussianNB(),0.5521043771043772,0.016791610709141317,0.8212353968361498,0.012205775639535323,0.4769777274929963,0.019393027946571207,0.6033539562758108,0.018531143819641934
83,VGG19,350,PCA(n_components=350),"SVC(C=1, gamma='auto', kernel='linear')",0.8414141414141414,0.008066766700815438,0.8550634591518207,0.006937172496277694,0.9369923831034814,0.003701175686780713,0.8941466466484537,0.005098785905922031
84,VGG19,400,SelectKBest(k=400),KNeighborsClassifier(n_neighbors=29),0.8161616161616163,0.009532247587132685,0.8510985626711085,0.007306969915469873,0.9003657663241247,0.009758252988684785,0.8750062937019971,0.006592379860532475
